example_id                                   | status | run_time        |
./spec/regexp-examples_spec.rb[1:1:5:24]     | passed | 0.00014 seconds |
./spec/regexp-examples_spec.rb[1:1:5:25]     | passed | 0.00014 seconds |
./spec/regexp-examples_spec.rb[1:1:5:26]     | passed | 0.00013 seconds |
./spec/regexp-examples_spec.rb[1:1:5:27]     | passed | 0.00014 seconds |
./spec/regexp-examples_spec.rb[1:1:5:28]     | passed | 0.00013 seconds |
./spec/regexp-examples_spec.rb[1:1:5:29]     | passed | 0.00016 seconds |
./spec/regexp-examples_spec.rb[1:1:5:30]     | passed | 0.00021 seconds |
./spec/regexp-examples_spec.rb[1:1:5:31]     | passed | 0.00035 seconds |
./spec/regexp-examples_spec.rb[1:1:5:32]     | passed | 0.00228 seconds |
./spec/regexp-examples_spec.rb[1:1:5:33]     | passed | 0.00019 seconds |
./spec/regexp-examples_spec.rb[1:1:5:34]     | passed | 0.00015 seconds |
./spec/regexp-examples_spec.rb[1:1:5:35]     | passed | 0.00014 seconds |
./spec/regexp-examples_spec.rb[1:1:5:36]     | passed | 0.0012 seconds  |
./spec/regexp-examples_spec.rb[1:1:5:37]     | passed | 0.00022 seconds |
./spec/regexp-examples_spec.rb[1:1:5:38]     | passed | 0.00015 seconds |
./spec/regexp-examples_spec.rb[1:1:5:39]     | passed | 0.00021 seconds |
./spec/regexp-examples_spec.rb[1:1:6:1]      | passed | 0.0004 seconds  |
./spec/regexp-examples_spec.rb[1:1:6:2]      | passed | 0.00058 seconds |
./spec/regexp-examples_spec.rb[1:1:6:3]      | passed | 0.00042 seconds |
./spec/regexp-examples_spec.rb[1:1:6:4]      | passed | 0.00037 seconds |
./spec/regexp-examples_spec.rb[1:1:6:5]      | passed | 0.00081 seconds |
./spec/regexp-examples_spec.rb[1:1:6:6]      | passed | 0.00158 seconds |
./spec/regexp-examples_spec.rb[1:1:6:7]      | passed | 0.00027 seconds |
./spec/regexp-examples_spec.rb[1:1:6:8]      | passed | 0.00035 seconds |
./spec/regexp-examples_spec.rb[1:1:6:9]      | passed | 0.00192 seconds |
./spec/regexp-examples_spec.rb[1:1:6:10]     | passed | 0.00045 seconds |
./spec/regexp-examples_spec.rb[1:1:7:1]      | passed | 0.00024 seconds |
./spec/regexp-examples_spec.rb[1:1:7:2]      | passed | 0.00032 seconds |
./spec/regexp-examples_spec.rb[1:1:7:3]      | passed | 0.0002 seconds  |
./spec/regexp-examples_spec.rb[1:1:8:1]      | passed | 0.00066 seconds |
./spec/regexp-examples_spec.rb[1:1:8:2]      | passed | 0.00069 seconds |
./spec/regexp-examples_spec.rb[1:1:8:3]      | passed | 0.00136 seconds |
./spec/regexp-examples_spec.rb[1:1:8:4]      | passed | 0.00128 seconds |
./spec/regexp-examples_spec.rb[1:1:8:5]      | passed | 0.00144 seconds |
./spec/regexp-examples_spec.rb[1:1:8:6]      | passed | 0.0003 seconds  |
./spec/regexp-examples_spec.rb[1:1:8:7]      | passed | 0.00038 seconds |
./spec/regexp-examples_spec.rb[1:1:8:8]      | passed | 0.00061 seconds |
./spec/regexp-examples_spec.rb[1:1:9:1]      | passed | 0.00008 seconds |
./spec/regexp-examples_spec.rb[1:1:9:2]      | passed | 0.00007 seconds |
./spec/regexp-examples_spec.rb[1:1:9:3]      | passed | 0.0001 seconds  |
./spec/regexp-examples_spec.rb[1:1:9:4]      | passed | 0.00008 seconds |
./spec/regexp-examples_spec.rb[1:1:9:5]      | passed | 0.0011 seconds  |
./spec/regexp-examples_spec.rb[1:1:9:6]      | passed | 0.0001 seconds  |
./spec/regexp-examples_spec.rb[1:1:9:7]      | passed | 0.00014 seconds |
./spec/regexp-examples_spec.rb[1:1:9:8]      | passed | 0.0002 seconds  |
./spec/regexp-examples_spec.rb[1:1:9:9]      | passed | 0.00014 seconds |
./spec/regexp-examples_spec.rb[1:1:9:10]     | passed | 0.00011 seconds |
./spec/regexp-examples_spec.rb[1:1:9:11]     | passed | 0.00009 seconds |
./spec/regexp-examples_spec.rb[1:1:9:12]     | passed | 0.00013 seconds |
./spec/regexp-examples_spec.rb[1:1:10:1]     | passed | 0.00036 seconds |
./spec/regexp-examples_spec.rb[1:1:10:2]     | passed | 0.00033 seconds |
./spec/regexp-examples_spec.rb[1:1:10:3]     | passed | 0.00026 seconds |
./spec/regexp-examples_spec.rb[1:1:10:4]     | passed | 0.00021 seconds |
./spec/regexp-examples_spec.rb[1:1:10:5]     | passed | 0.00019 seconds |
./spec/regexp-examples_spec.rb[1:1:11:1]     | passed | 0.00509 seconds |
./spec/regexp-examples_spec.rb[1:1:11:2]     | passed | 0.00535 seconds |
./spec/regexp-examples_spec.rb[1:1:11:3]     | passed | 0.00402 seconds |
./spec/regexp-examples_spec.rb[1:1:11:4]     | passed | 0.00562 seconds |
./spec/regexp-examples_spec.rb[1:1:11:5]     | passed | 0.00254 seconds |
./spec/regexp-examples_spec.rb[1:1:11:6]     | passed | 0.00258 seconds |
./spec/regexp-examples_spec.rb[1:1:11:7]     | passed | 0.0017 seconds  |
./spec/regexp-examples_spec.rb[1:1:11:8]     | passed | 0.00166 seconds |
./spec/regexp-examples_spec.rb[1:1:11:9]     | passed | 0.00187 seconds |
./spec/regexp-examples_spec.rb[1:1:11:10]    | passed | 0.00235 seconds |
./spec/regexp-examples_spec.rb[1:1:11:11]    | passed | 0.0025 seconds  |
./spec/regexp-examples_spec.rb[1:1:11:12]    | passed | 0.00256 seconds |
./spec/regexp-examples_spec.rb[1:1:11:13]    | passed | 0.00179 seconds |
./spec/regexp-examples_spec.rb[1:1:11:14]    | passed | 0.00118 seconds |
./spec/regexp-examples_spec.rb[1:1:11:15]    | passed | 0.00177 seconds |
./spec/regexp-examples_spec.rb[1:1:11:16]    | passed | 0.00161 seconds |
./spec/regexp-examples_spec.rb[1:1:11:17]    | passed | 0.00174 seconds |
./spec/regexp-examples_spec.rb[1:1:11:18]    | passed | 0.00224 seconds |
./spec/regexp-examples_spec.rb[1:1:11:19]    | passed | 0.00199 seconds |
./spec/regexp-examples_spec.rb[1:1:11:20]    | passed | 0.00906 seconds |
./spec/regexp-examples_spec.rb[1:1:11:21]    | passed | 0.00343 seconds |
./spec/regexp-examples_spec.rb[1:1:11:22]    | passed | 0.00196 seconds |
./spec/regexp-examples_spec.rb[1:1:11:23]    | passed | 0.00259 seconds |
./spec/regexp-examples_spec.rb[1:1:11:24]    | passed | 0.0021 seconds  |
./spec/regexp-examples_spec.rb[1:1:11:25]    | passed | 0.00122 seconds |
./spec/regexp-examples_spec.rb[1:1:11:26]    | passed | 0.00254 seconds |
./spec/regexp-examples_spec.rb[1:1:11:27]    | passed | 0.0032 seconds  |
./spec/regexp-examples_spec.rb[1:1:11:28]    | passed | 0.00188 seconds |
./spec/regexp-examples_spec.rb[1:1:11:29]    | passed | 0.00304 seconds |
./spec/regexp-examples_spec.rb[1:1:11:30]    | passed | 0.00156 seconds |
./spec/regexp-examples_spec.rb[1:1:11:31]    | passed | 0.00253 seconds |
./spec/regexp-examples_spec.rb[1:1:11:32]    | passed | 0.00234 seconds |
./spec/regexp-examples_spec.rb[1:1:11:33]    | passed | 0.00142 seconds |
./spec/regexp-examples_spec.rb[1:1:11:34]    | passed | 0.00218 seconds |
./spec/regexp-examples_spec.rb[1:1:11:35]    | passed | 0.00266 seconds |
./spec/regexp-examples_spec.rb[1:1:11:36]    | passed | 0.00158 seconds |
./spec/regexp-examples_spec.rb[1:1:11:37]    | passed | 0.00117 seconds |
./spec/regexp-examples_spec.rb[1:1:11:38]    | passed | 0.00188 seconds |
./spec/regexp-examples_spec.rb[1:1:11:39]    | passed | 0.00196 seconds |
./spec/regexp-examples_spec.rb[1:1:11:40]    | passed | 0.00153 seconds |
./spec/regexp-examples_spec.rb[1:1:11:41]    | passed | 0.00119 seconds |
./spec/regexp-examples_spec.rb[1:1:11:42]    | passed | 0.00286 seconds |
./spec/regexp-examples_spec.rb[1:1:11:43]    | passed | 0.00375 seconds |
./spec/regexp-examples_spec.rb[1:1:11:44]    | passed | 0.00249 seconds |
./spec/regexp-examples_spec.rb[1:1:11:45]    | passed | 0.00162 seconds |
./spec/regexp-examples_spec.rb[1:1:11:46]    | passed | 0.00197 seconds |
./spec/regexp-examples_spec.rb[1:1:11:47]    | passed | 0.00252 seconds |
./spec/regexp-examples_spec.rb[1:1:11:48]    | passed | 0.00124 seconds |
./spec/regexp-examples_spec.rb[1:1:11:49]    | passed | 0.00124 seconds |
./spec/regexp-examples_spec.rb[1:1:11:50]    | passed | 0.00145 seconds |
./spec/regexp-examples_spec.rb[1:1:11:51]    | passed | 0.00098 seconds |
./spec/regexp-examples_spec.rb[1:1:11:52]    | passed | 0.00245 seconds |
./spec/regexp-examples_spec.rb[1:1:11:53]    | passed | 0.00183 seconds |
./spec/regexp-examples_spec.rb[1:1:11:54]    | passed | 0.00636 seconds |
./spec/regexp-examples_spec.rb[1:1:11:55]    | passed | 0.00223 seconds |
./spec/regexp-examples_spec.rb[1:1:11:56]    | passed | 0.00198 seconds |
./spec/regexp-examples_spec.rb[1:1:11:57]    | passed | 0.00185 seconds |
./spec/regexp-examples_spec.rb[1:1:11:58]    | passed | 0.00153 seconds |
./spec/regexp-examples_spec.rb[1:1:11:59]    | passed | 0.00224 seconds |
./spec/regexp-examples_spec.rb[1:1:11:60]    | passed | 0.00159 seconds |
./spec/regexp-examples_spec.rb[1:1:11:61]    | passed | 0.00898 seconds |
./spec/regexp-examples_spec.rb[1:1:11:62]    | passed | 0.0022 seconds  |
./spec/regexp-examples_spec.rb[1:1:11:63]    | passed | 0.00174 seconds |
./spec/regexp-examples_spec.rb[1:1:11:64]    | passed | 0.00168 seconds |
./spec/regexp-examples_spec.rb[1:1:11:65]    | passed | 0.00206 seconds |
./spec/regexp-examples_spec.rb[1:1:11:66]    | passed | 0.00229 seconds |
./spec/regexp-examples_spec.rb[1:1:11:67]    | passed | 0.00181 seconds |
./spec/regexp-examples_spec.rb[1:1:11:68]    | passed | 0.00229 seconds |
./spec/regexp-examples_spec.rb[1:1:11:69]    | passed | 0.00258 seconds |
./spec/regexp-examples_spec.rb[1:1:11:70]    | passed | 0.00291 seconds |
